,Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,dayofweek_num,dayofweek_name,control_stock
67,1991-04-09,497.44000199999994,497.44000199999994,491.97000099999997,492.459991,492.459991,170470000,1991,4,9,1,Tuesday,buyersControl
68,1991-04-10,492.73001100000005,493.80999800000006,488.790009,490.76000999999997,490.76000999999997,172700000,1991,4,10,2,Wednesday,buyersControl
69,1991-04-11,494.910004,499.48999000000003,492.44000199999994,499.30999800000006,499.30999800000006,197910000,1991,4,11,3,Thursday,sellersControl
70,1991-04-12,501.39999400000005,502.290009,498.51000999999997,501.619995,501.619995,185850000,1991,4,12,4,Friday,sellersControl
71,1991-04-15,500.01998899999995,501.27999900000003,497.77999900000003,500.839996,500.839996,167800000,1991,4,15,0,Monday,sellersControl
72,1991-04-16,501.17999299999997,506.80999800000006,500.35998499999994,506.75,506.75,223450000,1991,4,16,1,Tuesday,sellersControl
73,1991-04-17,509.619995,512.679993,508.040009,511.30999800000006,511.30999800000006,267560000,1991,4,17,2,Wednesday,sellersControl
74,1991-04-18,509.35998499999994,510.60000599999995,506.459991,506.619995,506.619995,255530000,1991,4,18,3,Thursday,buyersControl
75,1991-04-19,503.27999900000003,505.450012,500.51000999999997,501.19000199999994,501.19000199999994,218010000,1991,4,19,4,Friday,buyersControl
76,1991-04-22,497.709991,500.119995,493.07000700000003,494.380005,494.380005,153440000,1991,4,22,0,Monday,buyersControl
77,1991-04-23,497.73001100000005,498.35998499999994,494.380005,496.079987,496.079987,161550000,1991,4,23,1,Tuesday,buyersControl
78,1991-04-24,496.420013,498.64001500000006,496.10998499999994,498.450012,498.450012,158230000,1991,4,24,2,Wednesday,sellersControl
79,1991-04-25,497.700012,498.790009,495.85998499999994,496.02999900000003,496.02999900000003,169580000,1991,4,25,3,Thursday,buyersControl
80,1991-04-26,493.14001500000006,495.27999900000003,492.299988,494.64001500000006,494.64001500000006,149200000,1991,4,26,4,Friday,sellersControl
81,1991-04-29,495.27999900000003,496.049988,487.700012,487.73999000000003,487.73999000000003,140300000,1991,4,29,0,Monday,buyersControl
82,1991-04-30,487.380005,487.48999000000003,479.630005,484.72000099999997,484.72000099999997,201470000,1991,4,30,1,Tuesday,buyersControl
83,1991-05-01,481.94000199999994,487.85998499999994,481.459991,487.85000599999995,487.85000599999995,185190000,1991,5,1,2,Wednesday,sellersControl
